"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_38";"v_40";"v_41";"v_42";"v_51";"v_52";"v_53";"v_54";"v_17";"v_18";"v_19";"v_20";"v_21";"v_22";"v_23";"v_1";"v_2";"v_3";"v_4";"v_9";"v_10";"v_11";"v_12";"v_13";"v_15";"v_16";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts7365785";"rts7365786";"rts7365788";"rts7365789";"rts7365790";"rts7365792";"rts7371199";"rnd_pg_7365787"
"34";"0";"0";"31";"7365780";"-77";"207";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"55";"1";"0";"0";"4";"0";"0";"1";"0";"15";"5";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"d2459ab2b8af01b44e14bafd55c3d109";"1";"0";"1750447366";"2025-06-20 19:22:46";"2025-06-20 19:26:13";"0000-00-00 00:00:00";"62";"135";"0";"0";"30";"207";"83";"7365790"
"36";"0";"0";"31";"7365780";"-77";"170";"4";"4";"5";"3";"5";"2";"2";"5";"1";"4";"4";"4";"4";"3";"4";"20";"0";"1";"0";"4";"1";"0";"0";"0";"3";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"9ca4dac7d46caf3f0cbcbf748b44cef1";"1";"0";"1750448971";"2025-06-20 19:49:31";"2025-06-20 19:52:21";"0000-00-00 00:00:00";"50";"124";"0";"23";"0";"170";"79";"7365789"
"37";"0";"0";"31";"7365780";"-77";"239";"4";"3";"4";"3";"4";"5";"4";"4";"2";"4";"5";"4";"5";"4";"3";"55";"0";"1";"0";"4";"0";"0";"0";"1";"17";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"e5a262d617e57920d6d4fb2e00cafcee";"1";"0";"1750449487";"2025-06-20 19:58:07";"2025-06-20 20:02:06";"0000-00-00 00:00:00";"47";"135";"0";"22";"0";"239";"70";"7365789"
"38";"0";"0";"31";"7365780";"-77";"178";"3";"3";"3";"3";"4";"3";"3";"3";"3";"4";"4";"3";"4";"4";"3";"56";"1";"0";"0";"3";"0";"1";"0";"0";"12";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"1c2927b4dcb3e705590f457c97b1e7b7";"1";"0";"1750450514";"2025-06-20 20:15:14";"2025-06-20 20:18:12";"0000-00-00 00:00:00";"43";"108";"0";"0";"23";"178";"64";"7365790"
"39";"0";"0";"31";"7365780";"-77";"280";"5";"2";"1";"5";"2";"3";"4";"2";"3";"5";"1";"4";"3";"2";"1";"32";"1";"0";"0";"3";"1";"0";"0";"0";"25";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"51013857c10b7d600b9f0e5ee7ed07b7";"1";"0";"1750452205";"2025-06-20 20:43:25";"2025-06-20 20:48:05";"0000-00-00 00:00:00";"93";"217";"0";"34";"0";"280";"152";"7365789"
"40";"0";"0";"31";"7365780";"-77";"176";"2";"2";"2";"3";"4";"4";"3";"4";"1";"4";"1";"2";"5";"2";"1";"25";"0";"1";"0";"4";"1";"0";"0";"0";"7";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"1";"0";"0";"-77";"-77";"f4e4a618645fecb01d7eaf60a0e01a78";"1";"0";"1750454184";"2025-06-20 21:16:24";"2025-06-20 21:19:20";"0000-00-00 00:00:00";"52";"118";"22";"0";"0";"176";"74";"7365788"
"41";"0";"0";"31";"7365780";"-77";"163";"4";"2";"4";"3";"4";"3";"4";"3";"3";"2";"3";"3";"3";"2";"2";"35";"0";"1";"0";"4";"1";"0";"0";"0";"6";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.2441.3";"https://www.linkedin.com/";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"b958b4bc1c06e20496f2dd960338f880";"1";"0";"1750455396";"2025-06-20 21:36:36";"2025-06-20 21:39:19";"0000-00-00 00:00:00";"56";"136";"0";"0";"28";"163";"85";"7365790"
"42";"0";"0";"31";"7365780";"-77";"334";"3";"4";"4";"4";"5";"5";"5";"5";"5";"4";"5";"4";"5";"4";"5";"61";"1";"0";"0";"5";"0";"0";"1";"0";"25";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"8bc6dd68ae533e58e68e1fad14d0c17f";"1";"0";"1750455546";"2025-06-20 21:39:06";"2025-06-20 21:44:40";"0000-00-00 00:00:00";"101";"213";"33";"0";"0";"334";"132";"7365788"
"43";"0";"0";"31";"7365780";"-77";"260";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"67";"1";"0";"0";"4";"0";"0";"1";"0";"17";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"e913f0bacff9079d8a91f7317512bfaa";"1";"0";"1750457122";"2025-06-20 22:05:22";"2025-06-20 22:09:42";"0000-00-00 00:00:00";"77";"149";"0";"31";"0";"260";"99";"7365789"
"44";"0";"0";"31";"7365780";"-77";"391";"3";"2";"1";"3";"1";"2";"5";"1";"1";"1";"1";"1";"1";"3";"2";"29";"0";"1";"0";"3";"1";"0";"0";"0";"9";"2";"Mozilla/5.0 (Linux; Android 14; 23127PN0CC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340129 MMWEBSDK/20250201 MMWEBID/9256 MicroMessenger/8.0.60.2860(0x28003C3A) WeChat/arm64 Weixin NetType/4G Language/en ABI/arm64";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"379042492750ef44fa41ecb32f453f42";"1";"0";"1750457398";"2025-06-20 22:09:58";"2025-06-20 22:16:29";"0000-00-00 00:00:00";"96";"287";"0";"0";"32";"391";"189";"7365790"
"45";"0";"0";"31";"7365780";"-77";"255";"3";"3";"3";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"4";"60";"0";"1";"0";"4";"0";"0";"1";"0";"13";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"fc13efddd8636b4e7c00468ca195abf1";"1";"0";"1750460336";"2025-06-20 22:58:56";"2025-06-20 23:03:11";"0000-00-00 00:00:00";"61";"139";"23";"0";"0";"255";"91";"7365788"
"46";"0";"0";"31";"7365780";"-77";"2243";"4";"3";"3";"2";"5";"4";"5";"5";"2";"5";"5";"5";"5";"5";"2";"22";"0";"1";"0";"3";"0";"0";"0";"1";"3";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 385.0.0.28.70 (iPhone14,3; iOS 18_5; es_ES; es-ES; scale=3.00; 1284x2778; 748614773; IABMV/1)";"https://l.instagram.com/";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"65355e10a45cabfc6571ce2d052cd7af";"1";"0";"1750463186";"2025-06-20 23:46:26";"2025-06-21 00:23:49";"0000-00-00 00:00:00";"814";"1965";"0";"22";"0";"2243";"1240";"7365789"
"47";"0";"0";"31";"7365780";"-77";"150";"5";"4";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"21";"1";"0";"0";"4";"1";"0";"0";"0";"16";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21C66 Instagram 385.0.0.28.70 (iPhone11,8; iOS 17_2_1; en_GB; en-GB; scale=2.00; 828x1792; 748614773; IABMV/1)";"https://www.instagram.com/";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"63bfc7cb9c264551c57fe22fa75b80ed";"1";"0";"1750467403";"2025-06-21 00:56:43";"2025-06-21 00:59:13";"0000-00-00 00:00:00";"66";"111";"0";"0";"21";"150";"81";"7365790"
"48";"0";"0";"31";"7365780";"-77";"288";"4";"4";"4";"4";"3";"3";"3";"4";"4";"3";"5";"4";"5";"4";"3";"53";"1";"0";"0";"3";"0";"0";"0";"1";"3";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"c985a745284a5c646291bfa3d6cdeaf0";"1";"0";"1750478879";"2025-06-21 04:07:59";"2025-06-21 04:12:47";"0000-00-00 00:00:00";"110";"223";"0";"50";"0";"288";"162";"7365789"
"49";"0";"0";"31";"7365780";"-77";"261";"3";"3";"4";"3";"4";"4";"5";"5";"4";"4";"5";"4";"5";"4";"3";"68";"1";"0";"0";"4";"0";"0";"0";"1";"15";"3";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"e5fd32cced14bdc205fed265a64a8423";"1";"0";"1750481218";"2025-06-21 04:46:58";"2025-06-21 04:51:19";"0000-00-00 00:00:00";"74";"172";"0";"0";"22";"261";"107";"7365790"
"50";"0";"0";"31";"7365780";"-77";"313";"3";"3";"4";"2";"3";"3";"4";"4";"2";"3";"4";"4";"4";"4";"4";"56";"0";"1";"0";"4";"0";"0";"1";"0";"19";"3";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"b3cbf803f9bc0324a8d3ce3a615e0198";"1";"0";"1750483479";"2025-06-21 05:24:39";"2025-06-21 05:29:52";"0000-00-00 00:00:00";"110";"224";"0";"0";"37";"313";"162";"7365790"
"51";"0";"0";"31";"7365780";"-77";"170";"3";"4";"4";"3";"5";"4";"5";"5";"5";"4";"2";"3";"4";"4";"3";"21";"0";"1";"0";"3";"0";"1";"0";"0";"14";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"6df0f8d802bbc36ac8a38d4a83377615";"1";"0";"1750488079";"2025-06-21 06:41:19";"2025-06-21 06:44:09";"0000-00-00 00:00:00";"67";"133";"21";"0";"0";"170";"86";"7365788"
"52";"0";"0";"31";"7365780";"-77";"249";"4";"4";"5";"3";"4";"5";"4";"5";"5";"4";"5";"5";"5";"3";"4";"64";"0";"1";"0";"5";"0";"0";"1";"0";"20";"5";"Mozilla/5.0 (Android 14; Mobile; rv:139.0) Gecko/139.0 Firefox/139.0";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"8b1840e49957462cf682c586d745935c";"1";"0";"1750488233";"2025-06-21 06:43:53";"2025-06-21 06:48:02";"0000-00-00 00:00:00";"92";"176";"0";"25";"0";"249";"130";"7365789"
"53";"0";"0";"31";"7365780";"-77";"163";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"3";"5";"21";"1";"0";"0";"4";"0";"1";"0";"0";"15";"5";"Mozilla/5.0 (Linux; Android 13; SM-G781B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 Instagram 384.0.0.46.83 Android (33/13; 480dpi; 1080x2168; samsung; SM-G781B; r8q; qcom; de_DE; 746325133; IABMV/1)";"https://www.instagram.com/";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"3c579fca5f55920929d634b1650cc0e5";"1";"0";"1750489282";"2025-06-21 07:01:22";"2025-06-21 07:04:05";"0000-00-00 00:00:00";"53";"116";"0";"0";"23";"163";"80";"7365790"
"54";"0";"0";"31";"7365780";"-77";"270";"1";"3";"1";"1";"3";"5";"5";"3";"5";"5";"5";"3";"5";"5";"3";"30";"0";"1";"0";"3";"0";"0";"1";"0";"18";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1";"https://l.instagram.com/";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"77422f57052a2b4352becaf31db7a311";"1";"0";"1750490225";"2025-06-21 07:17:05";"2025-06-21 07:21:35";"0000-00-00 00:00:00";"55";"189";"23";"0";"0";"270";"125";"7365788"
"55";"0";"0";"31";"7365780";"-77";"287";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"32";"1";"0";"0";"5";"0";"0";"1";"0";"16";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"9b7c4bcc2d65dcdbf6f95c53336c3eb3";"1";"0";"1750493562";"2025-06-21 08:12:42";"2025-06-21 08:17:29";"0000-00-00 00:00:00";"55";"201";"22";"0";"0";"287";"75";"7365788"
"56";"0";"0";"31";"7365780";"-77";"242";"4";"4";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"20";"0";"1";"0";"3";"0";"1";"0";"0";"3";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"06ebba17712fd56a5529f9754c855b0d";"1";"0";"1750493980";"2025-06-21 08:19:40";"2025-06-21 08:23:42";"0000-00-00 00:00:00";"135";"198";"0";"58";"0";"242";"159";"7365789"
"57";"0";"0";"31";"7365780";"-77";"136";"3";"3";"2";"2";"3";"2";"3";"3";"2";"2";"3";"3";"3";"2";"2";"23";"0";"1";"0";"2";"0";"1";"0";"0";"4";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"33d12669b51d58fa76ad0521d4de571c";"1";"0";"1750494083";"2025-06-21 08:21:23";"2025-06-21 08:23:39";"0000-00-00 00:00:00";"53";"103";"0";"0";"24";"136";"73";"7365790"
"58";"0";"0";"31";"7365780";"-77";"271";"3";"4";"4";"2";"5";"2";"4";"5";"5";"5";"3";"5";"5";"4";"3";"18";"1";"0";"0";"3";"0";"1";"0";"0";"14";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"563e5638c7928cb0a3e78ac507955cf6";"1";"0";"1750495316";"2025-06-21 08:41:56";"2025-06-21 08:46:27";"0000-00-00 00:00:00";"130";"210";"37";"0";"0";"271";"161";"7365788"
"59";"0";"0";"31";"7365780";"-77";"283";"3";"5";"3";"1";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"20";"0";"1";"0";"4";"0";"1";"0";"1";"1";"5";"Mozilla/5.0 (Linux; Android 14; SM-S921B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.89 Mobile Safari/537.36 Instagram 384.0.0.46.83 Android (34/14; 480dpi; 1080x2109; samsung; SM-S921B; e1s; s5e9945; de_DE; 746325150; IABMV/1)";"https://www.instagram.com/";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"0ed14de75a1ca4f508d054e3cdf2f650";"1";"0";"1750497137";"2025-06-21 09:12:17";"2025-06-21 09:17:00";"0000-00-00 00:00:00";"113";"227";"32";"0";"0";"283";"145";"7365788"
"61";"0";"0";"31";"7365780";"-77";"175";"4";"3";"5";"3";"4";"5";"4";"5";"4";"5";"3";"4";"4";"3";"3";"50";"1";"0";"0";"4";"1";"0";"0";"0";"11";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"e596a3564acc1f32d429f9bbbc6ce296";"1";"0";"1750497284";"2025-06-21 09:14:44";"2025-06-21 09:17:39";"0000-00-00 00:00:00";"72";"139";"0";"35";"0";"175";"92";"7365789"
"63";"0";"0";"31";"7365780";"-77";"287";"3";"2";"1";"5";"3";"5";"3";"4";"1";"4";"3";"5";"5";"3";"2";"23";"1";"0";"0";"3";"1";"0";"0";"0";"5";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0";"https://www.instagram.com/";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"1";"0";"0";"-77";"-77";"b6b39c700e2d6c4387f38d2750ff4a29";"1";"0";"1750502258";"2025-06-21 10:37:38";"2025-06-21 10:42:25";"0000-00-00 00:00:00";"91";"230";"24";"0";"0";"287";"145";"7365788"
"64";"0";"0";"31";"7365780";"-77";"440";"4";"4";"4";"3";"5";"4";"5";"4";"5";"4";"4";"4";"5";"4";"4";"27";"1";"0";"0";"4";"1";"0";"0";"0";"20";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"0";"0";"-77";"-77";"2693e8489ccf6a0e64c3e762158edad0";"1";"0";"1750502774";"2025-06-21 10:46:14";"2025-06-21 10:53:34";"0000-00-00 00:00:00";"100";"324";"0";"0";"22";"440";"126";"7365790"
"67";"0";"0";"31";"7365780";"-77";"198";"5";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"41";"1";"0";"0";"4";"0";"0";"0";"1";"18";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"3c3c7c5ddcd76c1c73b0f0e768f1bc03";"1";"0";"1750508690";"2025-06-21 12:24:50";"2025-06-21 12:28:08";"0000-00-00 00:00:00";"60";"128";"0";"22";"0";"198";"86";"7365789"
"68";"0";"0";"31";"7365780";"-77";"178";"4";"4";"3";"3";"5";"4";"5";"4";"5";"4";"3";"5";"5";"4";"3";"22";"1";"0";"0";"3";"1";"0";"0";"0";"17";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21H16 Instagram 385.0.0.28.70 (iPhone12,1; iOS 17_7; de_DE; de; scale=2.00; 828x1792; 748614773; IABMV/1)";"https://l.instagram.com/";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"58836f36cde230063e0fc52fbdc357b4";"1";"0";"1750513512";"2025-06-21 13:45:12";"2025-06-21 13:48:10";"0000-00-00 00:00:00";"51";"126";"21";"0";"0";"178";"77";"7365788"
"69";"0";"0";"31";"7365780";"-77";"213";"3";"3";"2";"2";"4";"2";"2";"3";"5";"5";"4";"5";"5";"4";"2";"22";"1";"0";"0";"4";"1";"0";"0";"0";"14";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"d891b7359599497ee931ff20bab86501";"1";"0";"1750521582";"2025-06-21 15:59:42";"2025-06-21 16:03:15";"0000-00-00 00:00:00";"49";"149";"0";"0";"21";"213";"109";"7365790"
"70";"0";"0";"31";"7365780";"-77";"219";"5";"5";"5";"5";"5";"5";"5";"5";"2";"3";"4";"4";"5";"5";"5";"22";"1";"0";"0";"4";"0";"1";"0";"0";"15";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"604a059757a9c2666668eb1fe7fe31a5";"1";"0";"1750521873";"2025-06-21 16:04:33";"2025-06-21 16:08:12";"0000-00-00 00:00:00";"45";"168";"0";"0";"21";"219";"59";"7365790"
"71";"0";"0";"31";"7365780";"-77";"425";"4";"3";"4";"5";"5";"4";"4";"5";"4";"5";"4";"4";"5";"4";"5";"18";"1";"0";"0";"3";"0";"0";"1";"0";"1";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"e09a9032bbd0ccd2f5bab6701b3aadb7";"1";"0";"1750521886";"2025-06-21 16:04:46";"2025-06-21 16:11:51";"0000-00-00 00:00:00";"67";"161";"0";"22";"0";"425";"98";"7365789"
"72";"0";"0";"31";"7365780";"-77";"131";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"4";"32";"0";"1";"0";"3";"1";"0";"0";"0";"8";"5";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"b4f3f3eecd41e8ce42ec0a2dc9debb0a";"1";"0";"1750525795";"2025-06-21 17:09:55";"2025-06-21 17:12:06";"0000-00-00 00:00:00";"43";"95";"21";"0";"0";"130";"53";"7365788"
"73";"0";"0";"31";"7365780";"-77";"205";"4";"5";"2";"3";"4";"5";"5";"3";"2";"5";"2";"3";"4";"5";"3";"21";"0";"1";"0";"4";"1";"0";"0";"0";"3";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"c3eec9fa3eba309da99932c6ba9f9e1f";"1";"0";"1750540851";"2025-06-21 21:20:51";"2025-06-21 21:24:16";"0000-00-00 00:00:00";"55";"162";"0";"0";"22";"205";"96";"7365790"
"75";"0";"0";"31";"7365780";"-77";"151";"4";"4";"3";"3";"5";"4";"4";"4";"4";"5";"5";"5";"4";"5";"2";"21";"1";"0";"0";"3";"1";"0";"0";"0";"3";"5";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4.1 Mobile/22E252 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"706a6e6a712a670ac30af93d28ebed65";"1";"0";"1750541718";"2025-06-21 21:35:18";"2025-06-21 21:37:49";"0000-00-00 00:00:00";"53";"113";"0";"23";"0";"151";"73";"7365789"
"76";"0";"0";"31";"7365780";"-77";"196";"4";"4";"3";"1";"5";"5";"5";"5";"3";"4";"4";"2";"5";"4";"5";"25";"0";"1";"0";"5";"1";"0";"0";"0";"16";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"e91cef3ee6d291eb4bdffc703133f8fe";"1";"0";"1750554037";"2025-06-22 01:00:37";"2025-06-22 01:03:53";"0000-00-00 00:00:00";"68";"157";"21";"0";"0";"196";"92";"7365788"
