"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_38";"v_40";"v_41";"v_42";"v_51";"v_52";"v_53";"v_54";"v_17";"v_18";"v_19";"v_20";"v_21";"v_22";"v_23";"v_1";"v_2";"v_3";"v_4";"v_9";"v_10";"v_11";"v_12";"v_13";"v_15";"v_16";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts7365785";"rts7365786";"rts7365788";"rts7365789";"rts7365790";"rts7365792";"rts7371199";"rnd_pg_7365787"
"13";"0";"0";"31";"7365780";"-77";"159";"4";"4";"5";"3";"4";"5";"4";"4";"3";"5";"2";"5";"4";"4";"3";"20";"1";"0";"0";"4";"1";"0";"0";"0";"8";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"b4701e125c551bf8579835903eb55b4d";"1";"0";"1750441951";"2025-06-20 17:52:31";"2025-06-20 17:55:10";"0000-00-00 00:00:00";"46";"109";"0";"21";"0";"159";"66";"7365789"
"14";"0";"0";"31";"7365780";"-77";"164";"5";"5";"5";"3";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"21";"1";"0";"0";"4";"0";"1";"0";"0";"13";"5";"Mozilla/5.0 (Linux; Android 15; SM-A556B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.89 Mobile Safari/537.36 Instagram 384.0.0.46.83 Android (35/15; 480dpi; 1080x2340; samsung; SM-A556B; a55x; s5e8845; de_DE; 746325133; IABMV/1)";"https://l.instagram.com/";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"dbaaee47546b0edb3d7d93eff1bf031d";"1";"0";"1750441952";"2025-06-20 17:52:32";"2025-06-20 17:55:16";"0000-00-00 00:00:00";"43";"91";"0";"0";"25";"164";"65";"7365790"
"15";"0";"0";"31";"7365780";"-77";"186";"4";"3";"4";"2";"5";"5";"5";"5";"4";"4";"4";"4";"3";"4";"3";"29";"0";"1";"0";"3";"1";"0";"0";"0";"8";"3";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365788,7365785,7365785,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"1";"1";"0";"-77";"-77";"e32dea1b176ae2c3ee0673a9d677dff4";"1";"0";"1750441998";"2025-06-20 17:53:18";"2025-06-20 17:56:24";"0000-00-00 00:00:00";"60";"119";"23";"0";"0";"186";"76";"7365788"
"16";"0";"0";"31";"7365780";"-77";"195";"2";"2";"4";"2";"3";"1";"3";"4";"2";"1";"2";"3";"4";"2";"2";"46";"1";"0";"0";"2";"0";"1";"0";"0";"17";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"055007a256272839537e57125664c958";"1";"0";"1750442278";"2025-06-20 17:57:58";"2025-06-20 18:01:13";"0000-00-00 00:00:00";"60";"129";"0";"0";"29";"195";"89";"7365790"
"17";"0";"0";"31";"7365780";"-77";"159";"1";"1";"1";"2";"2";"3";"3";"3";"1";"4";"3";"4";"4";"3";"1";"22";"0";"1";"0";"4";"1";"0";"0";"0";"15";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"1";"0";"0";"-77";"-77";"5357ce8b6c05de4d1f16f0cc94b6b7d9";"1";"0";"1750442565";"2025-06-20 18:02:45";"2025-06-20 18:05:24";"0000-00-00 00:00:00";"45";"109";"0";"0";"21";"159";"70";"7365790"
"18";"0";"0";"31";"7365780";"-77";"605";"3";"3";"3";"2";"4";"4";"5";"5";"5";"5";"3";"5";"5";"4";"4";"28";"0";"1";"0";"3";"0";"1";"0";"0";"15";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"6ed8aa604d8110bd0309f14f4f0aad23";"1";"0";"1750442641";"2025-06-20 18:04:01";"2025-06-20 18:14:06";"0000-00-00 00:00:00";"49";"549";"21";"0";"0";"605";"63";"7365788"
"19";"0";"0";"31";"7365780";"-77";"401";"3";"2";"2";"4";"5";"5";"5";"4";"2";"2";"3";"4";"4";"4";"2";"16";"1";"0";"0";"3";"0";"0";"1";"0";"9";"2";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365790,7365790,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"f541588e637afdba5e4a307ded196ca0";"1";"0";"1750442862";"2025-06-20 18:07:42";"2025-06-20 18:14:23";"0000-00-00 00:00:00";"301";"358";"0";"0";"278";"401";"318";"7365790"
"20";"0";"0";"31";"7365780";"-77";"215";"5";"4";"5";"5";"5";"4";"4";"4";"3";"3";"3";"3";"2";"1";"2";"25";"1";"0";"0";"2";"1";"0";"0";"0";"3";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4.1 Mobile/22E252 Safari/604.1";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"3d17cfb7ab77353c788f3b8b84a939e2";"1";"0";"1750443327";"2025-06-20 18:15:27";"2025-06-20 18:19:02";"0000-00-00 00:00:00";"74";"193";"23";"0";"0";"215";"98";"7365788"
"21";"0";"0";"31";"7365780";"-77";"179";"4";"4";"4";"3";"5";"5";"5";"5";"4";"5";"5";"3";"5";"5";"4";"22";"0";"1";"0";"5";"1";"0";"0";"0";"16";"5";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"8b29e71316bd33c1ba524fdf5f37108d";"1";"0";"1750443536";"2025-06-20 18:18:56";"2025-06-20 18:21:55";"0000-00-00 00:00:00";"62";"120";"0";"33";"0";"179";"80";"7365789"
"22";"0";"0";"31";"7365780";"-77";"168";"1";"2";"1";"1";"1";"4";"4";"3";"3";"5";"5";"2";"2";"5";"1";"34";"0";"1";"0";"5";"1";"1";"0";"0";"20";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 385.0.0.28.70 (iPhone17,1; iOS 18_5; de_DE; de; scale=3.00; 1206x2622; 748614773; IABMV/1) NW/3";"https://l.instagram.com/";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"1040e30dcab8c022567dae2e8a8f5894";"1";"0";"1750443693";"2025-06-20 18:21:33";"2025-06-20 18:24:21";"0000-00-00 00:00:00";"46";"120";"0";"0";"22";"168";"69";"7365790"
